"country","continent","lifeExp","pop","gdpPercap"
"BTC","B",11,18200886997976,885
"ETH","B",11,3114993881966,951
"XRP","B",11,1959446018010,772
"BCH","C",8,794054425337,836
"LTC","B",10,905042545706,735
"EOS","B",11,672516428703,921
"BNB","B",10,552094525284,673
"USDT","X",0,381549796480,557
"XLM","C",9,254312668186,854
"TRX","C",9,234472149206,856
"ADA","B",10,243560302580,877
"XMR","C",9,194246637151,766
"DASH","C",8,154660166403,826
"MIOTA","C",9,124909821137,614
"XTZ","C",7,79793787406,698
"ETC","C",9,101966190699,771
"NEO","C",9,102940689088,810
"XEM","C",8,83036245067,615
"MKR","X",0,77910252271,851
"ONT","C",7,74256453492,581
"ZEC","C",9,79934322537,790
"BTG","C",7,53377989540,540
"VET","C",7,41275137297,730
"BAT","X",0,45122487402,695
"LINK","X",0,64921167089,770
"DOGE","C",8,40075362250,699
"QTUM","C",8,36050698419,532
"OMG","C",8,30627023003,789
"HOT","C",9,24118459732,786
"DCR","C",8,30887810076,821
"TUSD","X",0,24455253318,672
"RVN","C",8,25613596392,476
"WAVES","C",8,25473889147,729
"LSK","C",8,25816584735,764
"NPXS","X",0,21556598801,471
"AOA","D",4,20168599913,251
"ZIL","C",7,19663394780,717
"NANO","D",6,20698077514,519
"REP","X",0,21399390357,811
"ZRX","X",0,21244991471,860
"KMD","C",8,17285358683,567
"ICX","C",8,17404875895,584
"BCN","D",6,19117780255,143
"DGB","C",7,18320558913,610
"BTS","C",9,18012258156,600
"HT","X",0,19847176578,508
"XVG","D",6,15148010465,763
"BTM","C",7,19536117360,527
"MONA","X",0,16749277162,321
"AE","D",6,14994586607,738
"IOST","D",6,15082438039,682
"DENT","X",0,14865985870,414
"SC","C",7,13738371729,474
"QBIT","X",0,16138336385,241
"ENJ","X",0,11246925958,655
"THETA","X",0,12046324433,459
"STEEM","C",8,13725702561,555
"KCS","X",0,16627186415,201
"HC","D",6,15240247230,512
"ETP","D",5,15240563645,314
"MCO","X",0,10307017797,351
"SNT","X",0,10576561729,795
"MAID","X",0,9016858674,538
"STRAT","D",5,10054172241,540
"WTC","D",6,7287708381,345
"DAI","X",0,9162429575,916
"TRUE","X",0,8563531017,445
"GNT","X",0,9677855300,694
"XIN","E",1,10217570576,143
"CNX","X",0,8606650085,095
"ARDR","C",7,12808584138,172
"ELF","X",0,10098598869,735
"WAX","C",7,10236779118,255
"PAI","X",0,7098179901,537
"DGD","X",0,6862416639,309
"ZEN","D",6,7713351362,563
"ARK","D",5,6400833025,581
"AION","D",6,5258608756,728
"MANA","X",0,6455812362,825
"LOOM","X",0,6493678707,753
"LRC","X",0,6301224840,426
"LA","X",0,5365656371,134
"NULS","C",7,7533560381,471
"R","X",0,5586009738,229
"NEXO","X",0,6393299141,347
"NAS","C",7,7521364665,198
"NET","X",0,6448836963,113
"XZC","D",6,11074484867,565
"RDD","D",6,6488869960,244
"PPT","X",0,5337337689,368
"SAN","X",0,7379765216,454
"MOAC","D",6,4638242962,456
"POWR","X",0,5263214218,376
"WAN","C",7,4604691511,451
"ABT","X",0,4394004495,684
"KNC","X",0,4714188595,792
"QASH","X",0,4772483042,184
"BNT","X",0,4747433042,629
"ENG","D",6,5283679254,640
"FUN","X",0,4234195423,631
"ETN","E",2,5910861808,391
"QKC","D",5,4565810434,691
"POLY","X",0,4372796607,730
"EKT","X",0,5796033554,265
"BRD","X",0,3905369839,538
"IOTX","X",0,3736192174,854
"PIVX","C",7,4492079320,633
"EURS","X",0,3919952347,411
"FTM","X",0,5211006974,413
"FSN","X",0,5663095391,416
"STORJ","X",0,3969616150,697
"SYS","D",5,3230514526,388
"RLC","X",0,3081738802,708
"EGT","X",0,10418455148,367
"REN","X",0,4053314294,326
"MFT","X",0,2699681960,662
"UTK","X",0,1988139788,299
"VERI","X",0,3065596970,336
"CSC","X",0,3152164200,215
"C20","X",0,3630044330,258
"GRS","D",5,3330969694,408
"GAS","X",0,3536605212,761
"TOMO","X",0,4065197551,504
"BIX","X",0,3084402854,256
"ITC","X",0,4541459652,181
"PAY","X",0,2919288823,336
"PART","X",0,2172036111,520
"CMT","E",1,3676885206,149
"CTXC","X",0,4029642119,346
"QRL","X",0,2600366333,351
"CVC","X",0,2957123928,734
"CND","X",0,2637443399,212
"COSM","X",0,3150146504,124
"AGI","X",0,2766183466,625
"VTC","C",7,2999521784,404
"GNO","X",0,2666799391,719
"SKY","D",6,2756795374,586
"CPT","X",0,2586094236,104
"MEDX","X",0,2805167282,243
"DGTX","X",0,4444823469,171
"ROX","X",0,2419440260,303
"UNO","X",0,2961274588,143
"MITH","X",0,2929832239,207
"ICN","X",0,3123346675,174
"RHOC","C",7,2182812602,653
"SXDT","X",0,2307219310,252
"EDO","X",0,3098720256,315
"NXS","D",5,2547132177,404
"BFT","X",0,2557183089,170
"EMC2","D",6,2682262952,138
"TEL","X",0,2528263373,298
"LBA","X",0,3121345159,382
"ANT","X",0,1883202040,695
"MTL","X",0,2947903303,221
"SCRL","X",0,1570095082,182
"GTO","X",0,2349966233,337
"MDA","X",0,1983111974,184
"DRGN","X",0,2106804840,322
"STORM","X",0,2018159894,323
"TTC","X",0,2129995961,201
"OCN","X",0,1849446190,315
"KIN","D",6,1701046116,834
"NOAH","X",0,1827096043,282
"NEBL","D",5,1834652282,316
"HPB","D",6,2507497313,347
"CLAM","X",0,1453159935,157
"APL","X",0,2184495499,460
"GO","D",6,1705478447,546
"KAN","X",0,2163841531,223
"BLOCK","D",5,1567711992,454
"MAN","D",6,1535707731,251
"OST","X",0,1903408080,578
"REQ","X",0,1730111825,538
"WABI","X",0,1707910211,229
"EVX","X",0,2047363071,451
"RDN","X",0,1983504728,758
"DATA","X",0,1746245827,531
"POE","X",0,1962551659,611
"BTX","X",0,1524881058,324
"DCN","X",0,1674461498,152
"GVT","X",0,1646563525,438
"SLT","X",0,1168266823,152
"QSP","X",0,1655567213,516
"AEON","C",7,1651281803,363
"RCN","X",0,1883375117,496
"SLS","E",2,2038840801,113
"TCT","X",0,1557957213,219
"PMA","X",0,1279193058,259
"WGR","X",0,1418344602,346
"EDR","X",0,1743054628,255
"CRPT","X",0,2015233847,297
"VITE","X",0,1584203786,572
"FLO","X",0,1269022115,190
"OAX","X",0,1674353811,241
"DROP","X",0,927852792,272
"RNT","X",0,1861959226,209
"VITAE","X",0,1102550460,128
"NEC","X",0,1796863148,152
"CS","D",5,1476485144,343
"DTA","X",0,1304947401,159
"MDS","X",0,1489988050,254
"TNB","X",0,1495455865,218
"VIA","D",5,1286149730,372
"SRN","X",0,1471866980,332
"TNT","X",0,2249028309,316
"RUFF","X",0,1439405974,172
"UUU","X",0,1786812415,160
"BLZ","X",0,1403532330,448
"PRO","X",0,1237728649,209
"IHT","X",0,1141323305,287
"NCASH","X",0,1323519337,243
"ETHOS","X",0,1205790640,293
"AUTO","X",0,1318396471,159
"VEE","X",0,1117693813,328
"VIBE","X",0,1260659364,170
"SWM","X",0,1081009059,324
"INS","X",0,1411443881,577
"XDN","D",6,1205435219,431
"MET","X",0,1299930262,568
"SMART","D",5,1524574691,381
"ADX","X",0,1228271004,544
