"country","continent","lifeExp","pop","gdpPercap"
"BTC","B",10,11949589537403,860
"ETH","B",10,1961260364242,924
"XRP","B",10,1372442646639,771
"BCH","C",7,553853092435,841
"LTC","C",9,501337236456,748
"EOS","B",11,483807811387,908
"USDT","X",0,304326289843,536
"BNB","B",10,294172376830,722
"XLM","C",9,187442751820,822
"ADA","C",9,175719127323,870
"TRX","C",9,171454510560,855
"XMR","C",8,119705867243,782
"DASH","C",8,108021462227,818
"MIOTA","C",8,84447411321,604
"XTZ","C",7,79936241915,698
"NEO","C",8,61023072227,783
"MKR","X",0,56400733632,854
"ONT","C",7,55262658072,577
"XEM","C",7,46624288532,633
"ZEC","C",8,39900479464,785
"BAT","X",0,39088141183,730
"BTG","D",6,38176448680,537
"VET","C",7,36218754456,737
"DOGE","C",7,32917238134,702
"DCR","C",8,27454132295,806
"OMG","C",7,25647480048,741
"TUSD","X",0,25565771687,708
"LINK","X",0,24795398571,707
"WAVES","C",8,25246256728,725
"QTUM","C",7,24396456225,518
"REP","X",0,22891185419,805
"LSK","C",7,22241467962,733
"NANO","C",7,21293868324,521
"BCN","D",6,18109284194,185
"HOT","C",9,16548265573,766
"ZRX","X",0,16427380438,854
"RVN","C",7,16517671798,519
"ICX","C",8,15427137498,591
"BTS","C",8,15187503108,584
"IOST","C",7,14947926025,669
"ZIL","D",6,15026373128,760
"KMD","C",7,14187066764,559
"NPXS","X",0,14249304331,450
"DGB","C",7,13206014871,637
"AE","D",6,13071596619,792
"HT","X",0,12583287545,383
"AOA","E",3,12293483079,341
"XVG","D",6,11105394658,768
"SC","D",6,10725210838,473
"STEEM","C",8,10578613540,536
"BTM","D",6,10167171732,360
"ENJ","X",0,10077895521,666
"KCS","X",0,9841111152,194
"DAI","X",0,8984617261,901
"FCT","X",0,8997385305,526
"QBIT","X",0,8769097870,191
"ZEN","D",6,8630450533,507
"CNX","X",0,8642065096,138
"XIN","E",1,8397342720,138
"DGD","X",0,8196198794,340
"SNT","X",0,8099107865,761
"STRAT","D",5,7996548603,547
"MCO","X",0,7815882572,321
"THETA","X",0,7604158970,446
"WTC","C",7,7579089075,303
"ARDR","D",6,7462624483,227
"GNT","X",0,7138223769,696
"TRUE","X",0,7011832431,421
"MAID","X",0,6948981022,562
"MONA","X",0,6690352298,333
"ABT","X",0,6480659286,637
"PAI","X",0,6449147872,524
"WAX","D",6,6243966559,300
"ELF","X",0,6216334975,713
"AION","D",6,5868516526,726
"RLC","X",0,5965697661,663
"SAN","X",0,5734840061,456
"DENT","X",0,5729998293,378
"NET","X",0,5610215464,111
"PPT","X",0,5606238452,399
"ARK","D",6,5351529841,571
"ETN","E",2,5268979200,408
"R","X",0,5243511473,298
"RDD","D",6,5245672926,266
"MANA","X",0,5308075939,802
"XZC","D",5,5106547438,546
"ETP","D",5,5046381212,380
"HC","D",6,4991045782,518
"LRC","X",0,4929239276,527
"NEXO","X",0,4728986212,358
"QASH","X",0,4705991685,218
"LOOM","X",0,4664292778,746
"NULS","C",7,4655324642,464
"POWR","X",0,4567373647,355
"NAS","D",6,4385460707,190
"CLAM","X",0,4375465723,174
"MOAC","D",6,4023626356,456
"KIN","D",5,3818549633,819
"BNT","X",0,3819510838,637
"BRD","X",0,3790786036,531
"FUN","X",0,3715666361,633
"PART","X",0,3704778236,528
"KNC","X",0,3724952389,771
"SYS","D",5,3681776495,425
"CSC","X",0,3648841565,295
"POLY","X",0,3565157171,657
"PIVX","C",7,3550672558,634
"TOMO","X",0,3551637777,498
"LA","X",0,3547790572,197
"WAN","D",6,3551449938,442
"EKT","X",0,3350252040,266
"ENG","D",6,3331248912,619
"STORJ","X",0,3250983500,722
"BIX","X",0,3176376075,199
"IOTX","X",0,3170460775,831
"UNO","X",0,2956399803,163
"VERI","X",0,2854617263,241
"PAY","X",0,2819598070,316
"CMT","E",1,2764885555,154
"GRS","D",5,2699787591,452
"MFT","X",0,2639000036,665
"FSN","X",0,2608065409,419
"SXDT","X",0,2532046315,240
"QKC","D",6,2482197410,692
"APL","X",0,2438992039,460
"GAS","X",0,2584643415,747
"DGTX","X",0,2452727486,287
"LBA","X",0,2415178692,316
"ANT","X",0,2368767250,685
"CTXC","X",0,2346375413,375
"DRGN","X",0,2318747756,323
"TCT","X",0,2271079119,207
"TEL","X",0,2263647102,281
"C20","X",0,2223668018,275
"VTC","C",7,2230632359,470
"CND","X",0,2198162747,228
"ROX","X",0,2224179763,283
"EMC2","D",5,2179902267,190
"MEDX","X",0,2116397977,231
"MITH","X",0,2133469003,316
"BFT","X",0,2126606444,188
"AGI","X",0,2089912603,632
"WGR","X",0,2072677950,342
"UTK","X",0,2057509387,282
"MTL","X",0,1953768480,252
"NEBL","D",5,1937100558,333
"GNO","X",0,1920316774,657
"DROP","X",0,1887510785,250
"FLO","X",0,1883620505,241
"SKY","D",5,1825163338,582
"EDO","X",0,1826173744,274
"SLT","X",0,1813051727,156
"MAN","D",6,1792975908,327
"RNT","X",0,1804857575,179
"TKN","X",0,1788031165,318
